iter	Passed	Remaining
1163	220705	537732
1164	220880	537506
1165	221078	537338
1166	221263	537137
1167	221433	536900
1168	221616	536695
1169	221829	536562
1170	222024	536385
1171	222212	536190
1172	222390	535973
1173	222577	535778
1174	222766	535587
1175	222990	535479
1176	223179	535288
1177	223372	535108
1178	223585	534974
1179	223784	534807
1180	223981	534635
1181	224185	534478
1182	224391	534328
1183	224595	534173
1184	224794	534004
1185	224981	533810
1186	225195	533676
1187	225397	533515
1188	225602	533362
1189	225810	533215
1190	226024	533083
1191	226232	532936
1192	226419	532740
1193	226643	532632
1194	226841	532460
1195	227048	532310
1196	227252	532154
1197	227456	531998
1198	227685	531898
1199	227875	531710
1200	228067	531524
1201	228277	531380
1202	228472	531203
1203	228676	531045
1204	228887	530904
1205	229094	530754
1206	229290	530579
1207	229473	530373
1208	229677	530214
1209	229881	530058
1210	230094	529920
1211	230300	529766
1212	230525	529657
1213	230719	529476
1214	230923	529319
1215	231122	529149
1216	231329	528997
1217	231541	528856
1218	231723	528647
1219	231905	528439
1220	232127	528323
1221	232320	528140
1222	232516	527962
1223	232719	527801
1224	232912	527617
1225	233105	527433
1226	233306	527267
1227	233491	527066
1228	233688	526892
1229	233871	526686
1230	234070	526516
1231	234277	526362
1232	234476	526193
1233	234673	526018
1234	234862	525825
1235	235052	525635
1236	235250	525462
1237	235431	525251
1238	235624	525066
1239	235810	524867
1240	235996	524668
1241	236192	524491
1242	236387	524313
1243	236570	524106
1244	236745	523881
1245	236933	523687
1246	237125	523501
1247	237320	523321
1248	237519	523152
1249	237724	522993
1250	237924	522826
1251	238110	522625
1252	238287	522406
1253	238486	522235
1254	238686	522067
1255	238883	521892
1256	239077	521710
1257	239264	521512
1258	239464	521344
1259	239653	521151
1260	239844	520963
1261	240041	520786
1262	240217	520566
1263	240412	520385
1264	240603	520198
1265	240788	519997
1266	240989	519830
1267	241177	519635
1268	241386	519484
1269	241558	519255
1270	241765	519102
1271	241960	518922
1272	242146	518722
1273	242343	518546
1274	242514	518315
1275	242713	518144
1276	242904	517954
1277	243101	517778
1278	243309	517626
1279	243501	517439
1280	243669	517203
1281	243869	517033
1282	244055	516833
1283	244249	516651
1284	244442	516469
1285	244636	516285
1286	244820	516081
1287	245015	515903
1288	245217	515737
1289	245415	515562
1290	245588	515335
1291	245775	515140
1292	245971	514960
1293	246166	514780
1294	246369	514617
1295	246547	514400
1296	246726	514188
1297	246915	513994
1298	247099	513792
1299	247289	513600
1300	247476	513404
1301	247658	513196
1302	247850	513011
1303	248028	512794
1304	248221	512610
1305	248399	512395
1306	248583	512192
1307	248771	511997
1308	248959	511802
1309	249131	511575
1310	249308	511359
1311	249509	511190
1312	249690	510981
1313	249892	510814
1314	250082	510625
1315	250253	510395
1316	250434	510186
1317	250632	510011
1318	250838	509854
1319	251023	509653
1320	251207	509450
1321	251403	509272
1322	251598	509093
1323	251771	508867
1324	251966	508687
1325	252164	508512
1326	252338	508289
1327	252523	508090
1328	252718	507909
1329	252916	507734
1330	253114	507559
1331	253294	507348
1332	253487	507165
1333	253696	507011
1334	253869	506787
1335	254070	506618
1336	254276	506460
1337	254451	506239
1338	254639	506046
1339	254819	505834
1340	255010	505648
1341	255199	505455
1342	255385	505255
1343	255563	505042
1344	255757	504858
1345	255921	504618
1346	256104	504413
1347	256305	504245
